"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 30 12:53:59 GMT 2025","Mon Jun 30 12:54:00 GMT 2025","935","Funcionalidade: Autenticação","","","","","02 Cenário: Login com username inválido",""
"passed","Mon Jun 30 12:53:48 GMT 2025","Mon Jun 30 12:53:50 GMT 2025","1948","Funcionalidade: Home","","","","","11 Cenário: Realizar compra um dispositio mobile",""
"passed","Mon Jun 30 12:54:04 GMT 2025","Mon Jun 30 12:54:04 GMT 2025","553","Funcionalidade: Autenticação","","","","","06 Cenário: Login com formulário vazio",""
"passed","Mon Jun 30 12:53:30 GMT 2025","Mon Jun 30 12:53:32 GMT 2025","1123","Funcionalidade: Home","","","","","03 Cenário: Remover Produto do Carrinho",""
"passed","Mon Jun 30 12:53:56 GMT 2025","Mon Jun 30 12:53:58 GMT 2025","1530","Funcionalidade: Autenticação","","","","","01 Cenário: Login com sucesso",""
"passed","Mon Jun 30 12:53:45 GMT 2025","Mon Jun 30 12:53:47 GMT 2025","1884","Funcionalidade: Home","","","","","10 Cenário: Realiza a compra e volta para a Home",""
"passed","Mon Jun 30 12:53:43 GMT 2025","Mon Jun 30 12:53:44 GMT 2025","1780","Funcionalidade: Home","","","","","09 Cenário: Fluxo de cancelamento de compra",""
"passed","Mon Jun 30 12:54:05 GMT 2025","Mon Jun 30 12:54:05 GMT 2025","863","Funcionalidade: Autenticação","","","","","07 Cenário: Login com usuario bloqueado",""
"passed","Mon Jun 30 12:54:03 GMT 2025","Mon Jun 30 12:54:03 GMT 2025","722","Funcionalidade: Autenticação","","","","","05 Cenário: Login com password vazio",""
"passed","Mon Jun 30 12:53:29 GMT 2025","Mon Jun 30 12:53:30 GMT 2025","1128","Funcionalidade: Home","","","","","02 Cenário: Adicionar Produto ao Carrinho",""
"passed","Mon Jun 30 12:53:40 GMT 2025","Mon Jun 30 12:53:42 GMT 2025","1689","Funcionalidade: Home","","","","","08 Cenário: Fluxo de compra com CEP em branco",""
"passed","Mon Jun 30 12:53:25 GMT 2025","Mon Jun 30 12:53:28 GMT 2025","3146","Funcionalidade: Home","","","","","01 Cenário: Visualiza lista de produtos após login",""
"passed","Mon Jun 30 12:54:02 GMT 2025","Mon Jun 30 12:54:02 GMT 2025","747","Funcionalidade: Autenticação","","","","","04 Cenário: Login com username vazio",""
"passed","Mon Jun 30 12:53:50 GMT 2025","Mon Jun 30 12:53:52 GMT 2025","1961","Funcionalidade: Home","","","","","12 Cenário: Realizar compra com dispositivos do tipo tablet",""
"passed","Mon Jun 30 12:53:36 GMT 2025","Mon Jun 30 12:53:38 GMT 2025","1702","Funcionalidade: Home","","","","","06 Cenário: Fluxo de compra com nom de usuario em branco",""
"passed","Mon Jun 30 12:53:38 GMT 2025","Mon Jun 30 12:53:40 GMT 2025","1682","Funcionalidade: Home","","","","","07 Cenário: Fluxo de compra com ultimo nome em branco",""
"passed","Mon Jun 30 12:53:34 GMT 2025","Mon Jun 30 12:53:35 GMT 2025","1182","Funcionalidade: Home","","","","","05 Cenário: Adicionar Produto ao Carrinho e Continuar Comprando",""
"passed","Mon Jun 30 12:53:32 GMT 2025","Mon Jun 30 12:53:34 GMT 2025","1808","Funcionalidade: Home","","","","","04 Cenário: Fluxo de Finalização de Compra",""
"passed","Mon Jun 30 12:54:00 GMT 2025","Mon Jun 30 12:54:01 GMT 2025","910","Funcionalidade: Autenticação","","","","","03 Cenário: Login com password inválido",""
"passed","Mon Jun 30 12:54:06 GMT 2025","Mon Jun 30 12:54:07 GMT 2025","1404","Funcionalidade: Autenticação","","","","","08 Cenário: Logout do Usuário",""
